S,price,delta,gamma,vega,rho,theta
50,0.00239942,0.000917433,0.00031109,0.155545,0.0434722,-0.0177281
51,0.00348844,0.00127762,0.000413177,0.214935,0.06167,-0.024577
52,0.00499275,0.00175222,0.000540579,0.292345,0.0861228,-0.0335406
53,0.00704007,0.00236853,0.000697237,0.391707,0.118492,-0.0450953
54,0.00978741,0.00315779,0.000887169,0.517397,0.160733,-0.0597763
55,0.013425,0.00415528,0.00111435,0.674183,0.215115,-0.078174
56,0.0181804,0.00540018,0.0013826,0.867168,0.28423,-0.100928
57,0.0243221,0.00693535,0.00169544,1.10169,0.370993,-0.128719
58,0.0321632,0.00880696,0.00205595,1.38324,0.47864,-0.162256
59,0.0420645,0.011064,0.00246667,1.7173,0.610711,-0.202265
60,0.0544367,0.0137577,0.00292947,2.10921,0.771023,-0.249473
61,0.0697429,0.0169406,0.0034454,2.56406,0.963637,-0.304588
62,0.0884989,0.0206663,0.00401467,3.08648,1.19281,-0.368288
63,0.111274,0.0249875,0.00463656,3.6805,1.46294,-0.441197
64,0.13869,0.0299563,0.00530936,4.34943,1.77852,-0.523869
65,0.171419,0.0356223,0.0060304,5.09569,2.14403,-0.616771
66,0.210182,0.042032,0.00679603,5.9207,2.56393,-0.720267
67,0.255745,0.0492278,0.00760168,6.82479,3.04251,-0.834605
68,0.308913,0.0572469,0.00844194,7.8071,3.58388,-0.959904
69,0.370524,0.0661211,0.00931063,8.86558,4.19183,-1.09615
70,0.441448,0.0758754,0.0102009,9.9969,4.86983,-1.24318
71,0.522574,0.0865277,0.0111055,11.1965,5.62089,-1.4007
72,0.614807,0.0980885,0.0120165,12.4587,6.44757,-1.56825
73,0.719055,0.11056,0.0129262,13.7767,7.35185,-1.74526
74,0.836229,0.123938,0.0138263,15.1425,8.33516,-1.93101
75,0.967228,0.138207,0.0147088,16.5474,9.3983,-2.12466
76,1.11293,0.153347,0.015566,17.9819,10.5414,-2.32526
77,1.2742,0.169328,0.0163904,19.4357,11.7641,-2.53177
78,1.45186,0.186114,0.0171747,20.8982,13.0651,-2.74308
79,1.64668,0.203662,0.0179127,22.3586,14.4426,-2.95799
80,1.85942,0.221922,0.0185982,23.8057,15.8944,-3.17529
81,2.09075,0.240839,0.0192262,25.2287,17.4172,-3.39373
82,2.3413,0.260354,0.0197922,26.6166,19.0077,-3.61205
83,2.61163,0.280402,0.0202926,27.9592,20.6617,-3.829
84,2.90226,0.300916,0.0207245,29.2464,22.3747,-4.04338
85,3.2136,0.321827,0.0210859,30.4692,24.1417,-4.25401
86,3.54602,0.343064,0.0213757,31.6189,25.9575,-4.45976
87,3.89981,0.364555,0.0215933,32.6879,27.8165,-4.65961
88,4.27519,0.386227,0.021739,33.6694,29.7128,-4.85258
89,4.6723,0.408009,0.021814,34.5577,31.6405,-5.0378
90,5.09122,0.429832,0.0218197,35.348,33.5936,-5.21448
91,5.53196,0.451626,0.0217586,36.0365,35.566,-5.38196
92,5.99444,0.473327,0.0216332,36.6206,37.5517,-5.53965
93,6.47856,0.494872,0.0214467,37.0986,39.5446,-5.68709
94,6.98412,0.516202,0.0212028,37.4696,41.5388,-5.82391
95,7.51087,0.53726,0.0209053,37.7341,43.5288,-5.94985
96,8.05853,0.557996,0.0205583,37.893,45.5091,-6.06476
97,8.62674,0.578362,0.020166,37.9485,47.4743,-6.16856
98,9.21511,0.598314,0.019733,37.9031,49.4197,-6.26129
99,9.82322,0.617815,0.0192635,37.7602,51.3405,-6.34305
100,10.4506,0.636831,0.018762,37.524,53.2325,-6.41403
101,11.0967,0.65533,0.018233,37.199,55.0917,-6.47448
102,11.7611,0.673289,0.0176807,36.7901,56.9144,-6.52473
103,12.4431,0.690685,0.0171094,36.3027,58.6975,-6.56514
104,13.1422,0.707503,0.0165229,35.7424,60.438,-6.59614
105,13.8579,0.723727,0.0159252,35.1152,62.1335,-6.61819
106,14.5895,0.739351,0.0153199,34.4269,63.7817,-6.63178
107,15.3364,0.754366,0.0147104,33.6838,65.3807,-6.63742
108,16.098,0.768771,0.0140997,32.8918,66.9292,-6.63564
109,16.8737,0.782566,0.0134909,32.057,68.4259,-6.627
110,17.663,0.795754,0.0128865,31.1854,69.87,-6.61204
111,18.4651,0.808341,0.012289,30.2826,71.2608,-6.5913
112,19.2794,0.820335,0.0117006,29.3544,72.5981,-6.56535
113,20.1055,0.831746,0.0111231,28.4061,73.8818,-6.5347
114,20.9427,0.842586,0.0105582,27.4428,75.112,-6.49989
115,21.7905,0.852867,0.0100074,26.4695,76.2892,-6.46141
116,22.6483,0.862605,0.00947184,25.4906,77.4139,-6.41976
117,23.5155,0.871816,0.00895263,24.5105,78.487,-6.3754
118,24.3918,0.880516,0.00845055,23.5331,79.5092,-6.32877
119,25.2764,0.888723,0.00796627,22.5621,80.4817,-6.28029
120,26.169,0.896455,0.00750025,21.6007,81.4056,-6.23035
121,27.0692,0.90373,0.00705282,20.6521,82.2822,-6.17931
122,27.9764,0.910567,0.00662416,19.7188,83.1128,-6.12752
123,28.8902,0.916985,0.00621434,18.8034,83.8989,-6.07528
124,29.8102,0.923002,0.0058233,17.9078,84.642,-6.02288
125,30.736,0.928637,0.00545088,17.034,85.3436,-5.97058
126,31.6673,0.93391,0.00509683,16.1835,86.0053,-5.91861
127,32.6037,0.938837,0.00476084,15.3575,86.6286,-5.86718
128,33.5449,0.943437,0.00444251,14.5572,87.2151,-5.81648
129,34.4905,0.947728,0.00414141,13.7834,87.7664,-5.76666
130,35.4403,0.951726,0.00385702,13.0367,88.2841,-5.71788
131,36.3939,0.955447,0.00358883,12.3176,88.7697,-5.67024
132,37.3511,0.958909,0.00333628,11.6263,89.2249,-5.62387
133,38.3116,0.962125,0.00309877,10.9628,89.651,-5.57883
134,39.2753,0.965111,0.00287571,10.3272,90.0496,-5.53521
135,40.2418,0.967881,0.00266649,9.71935,90.4222,-5.49304
136,41.2109,0.970448,0.00247049,9.13883,90.77,-5.45238
137,42.1826,0.972826,0.0022871,8.5853,91.0946,-5.41326
138,43.1565,0.975026,0.00211569,8.05825,91.3971,-5.37568
139,44.1326,0.977061,0.00195568,7.55713,91.6789,-5.33966
